text,label
I will pass thanks.,2
Not happy about this,3
Don't use this product as directed,2
High Fructose Corn Syrup... want it in your fruit?,2
Rice Works--Yummy and Healthy!,5
"Natural Chewy Food, Delicious Treat",5
IF ONLY THEY WEREN'T SMASHED...,2
It's ok...,3
"Too much orange, not enough tangerine.",3
Make sure you know what you're buying.....,2
Grandma's Coffee Cake - Service Unequal,3
YAY,5
"OK, nothing special",3
Do Not Buy - Doesn't Work,1
Ice Wine,4
This isn't good dog food. Here are rules for finding one:,3
Decent.,3
not the same as they used to be,3
"Not my type of sauce - it needed major ""repair""",4
Good Buy and Amazon really delivers,5
Pretty good,3
Prefer regular Pop Chips,5
Great nutrion in a portable package,4
Not low carb,4
This tastes aweful,2
"Tastes Good, and Good for You",4
Odd salty flavor. Pieces not haves.,2
Pretty delicious,5
"Crunchy granola, dark chocalate chunks. What's not to like?",5
El Yucateco Achiote Red Paste,4
Defective K-cups,1
Healthiest cat ever,5
my picky kid loves this!,4
"Good quality, great to cook with",5
Wonderful apricots,4
Canned in Vietnam,1
NOT a cure-all if that's what you're looking for,2
"DON""T BUY:  USE ""PRO PEST""!",1
Not gold. This is yellow.,1
Let's get real.,1
Tea for every mood,4
Delicious,3
Not strong enough.........,3
"Quick, Easy & Delicious",5
Arrived spoiled,2
OILY!  OILY!  Oily!,2
Maybe,2
"Tastes great, low calorie",5
very good,5
Horrible Taste,1
what a mess,4
Terrible aftertaste,1
Starbucks Natural Fusions Vanilla Flavored Ground Coffee,2
Guilty pleasure...,5
Iced - Not so hot,2
Great Buy!,3
A first,2
Not enough flavor,2
"""Tres intense"" K-cup blend stronger than the usual fare",4
Do Not Use if Child Has Allergies,1
Old World Coffee for those who suffer from acid reflux,4
Great movie turned bad,2
TERRIBLE!,1
Horrible,1
My least favorite flavor of IZZE,4
Not like the old days,2
Gave all my dogs heartburn and upset stomach,1
Read the ingredients,1
Very acceptable K Cup Hot Chocolate,4
Love this flavor,5
HARD TO FIND,4
Well.. it's not coffee...,1
Contains wheat ingredients,4
good stuff,5
Terrible cat food,1
Don't. Just don't.,2
Plantars is the Best,5
Stale,1
Disappointing,3
Best Gluten Free Flour mix I've tried,5
"Tastes okay, but the 'end result' is not worth it.",1
Love This Tangy Tea,5
Good product.,5
"Good, but Flavor Names Not Always Appropriate",4
NASTY!!,2
It's olive oil,3
Red Leaf Prayer Plant,1
Mostly Hot Chocolate/only 6 flavors instead of 8,2
Ya gotta love Luzianne,4
Packaging not up to par,2
Not as Minty as I'm used too...,3
More like Crystal Light,3
Causes stomach problems,2
I Really Wanted to Like This,3
Not what I expected,2
Stale product,3
Disappointed,2
Very good,4
hideous rancid taste,1
tasteless...,2
Awful,1
Bought it for kids and wife,1
Sadly disappointed,2
Strong enough for the mug size,4
A 6 out of 10,3
What's with the Arabic writing?,3
Wonderful coffee!!,5
After Seven Days...,3
Fun but not sturdy,3
Very Dissapointing,2
Diarrhea,1
You Can't Go Home Again,2
TERRIBLE FOOD,1
Amazing Flavor!!!,5
My cat still had lactose problems with this milk.,2
A Wonderful Organic Flavorful Granola,4
dried cherries,2
pretty good,4
Should have been called Tomato Glue,1
Gobble It Up,4
Gross,2
EASY and convenient,3
Delicious tea at a great price,4
Tasty but pricey,4
"Love Coffee People, but Not Jet Fuel",2
Halloween Candy.. Received 3 Days Late,3
"Damaged, empty boxes",3
Good news and bad news,3
Bad Purchase,2
Not A Fan,2
High in Sugar,1
DOG BONES,5
Not that good.,2
Not for everyone,2
"Great product, bad price",1
What a rip-off!!!,1
$$$$$?????,3
Tastes weird,2
Shows no Trans Fats but there are... watch out!,1
YIKES!!!,1
"If you like sticky, you'll LOVE this product",5
Perfect tortilla chip goodness!,5
Good amount of heat but not TOO hot!,5
Item falsly advertised and company unwilling to resolve issue,1
Pleased,5
Really Good Hazelnut Coffee,4
It's okay but too sweet and a little gelatinous,3
Cheaply made and NO customer service,2
Yum,5
"Very good Coffee, but not quite the same as a Donut shop",4
The only place to find it is on amazon!!!!,5
Amazing bar! Too expensive @ amazon!,3
Emerald Trail Mix Tropical Blend,5
Delicious alternative to greasy traditional chips!,5
Not quite the best...,4
delicious & fast delivery,5
Product arrived damaged.,1
Fine on my morning hot oat meal,4
Keurig Green Mtn Breakfast Blend,5
Dry,2
Open Bags on arrival !! Check every one!,1
Not bad.,3
One Of The Worst Food Items I've Ever Eaten,1
My Dog Loves it but it's Not Great Nutrition,2
Purchased a bag with way too much salt - Company provided a replacement: almonds were perfect,4
Slight bitterness,3
"Good, but not as good as other brands",3
My cats don't like the salmon,3
Subtle Chamomile Tea,4
Great coffee but the price is a rip off,2
Ginger Heaven,5
Never got it.,1
No More Barf!,4
Vegetable soup flavoring,5
"Very bland, better at the store",2
Closet Slim Jim Eater,4
FoodTaster,1
Quart bottle of sorgham,2
I bought a ton of this soup assuming it would be edible...it's not.  It makes me want to regurgitate it when I try to eat it.,1
Jamaica Me Crazy is our favorite K-Cup so far,4
good,5
Past due date. Not intended for U.S.,3
Krave Cereal For Chocolate Cravers,3
Switch Orange Tangerine - 8.3 Ounce Can,4
How do I return this item??,1
Love the Chief,4
not good,1
"Is that what they call ""green"" packaging?",1
Not as good as Mish Mash,3
Excellent!,5
We have a winner!,4
Great Product.,4
From someone who took it for months and stopped,2
On second thought...,3
Bitter Grass Clippings,2
SeattleLee,3
Terrible aftertaste,1
Loved the taste and had great energy!,5
Stale wlanuts,1
Too oily,2
Not as Described,2
"Love the flavor and texture, but...",3
Grow on you...,4
Rolls were moldy,1
"Great, once you get used to the texture....",4
A LITTLE DISAPPOINTED,2
Alaska Smokehouse Smoked Salmon,3
no listed info,2
Helped Spouse That Has Fibromyalgia,4
light peach drink,4
Coffee is good - Shipping is 3 months??,1
Vapid.,1
Tastey!,3
I wanted to like it,3
works great,4
Cats don't like,3
Inedible -- So bad I threw out a nearly-full box.,1
Pretty good for quick iced tea but the Southern Sweet Tea is better.,3
Very Nice,5
Not a bad flavor,4
Very Disappointed.,2
"good base, not so great by itself",3
TOO SALTY!!!,2
Fine brownies,4
Ok quality,3
"I kind of like it, but I kind of don't.",3
"Smooth, Not Bitter, but Vanilla?",3
they are tatsty but got them too expensive at amazon,2
Hello Diabetes,1
Better off buying at store,2
Perfect for training,5
Greenies Pill Pockets,5
"Healthy, but hold the sugar!",4
Split decision on this one,3
Great for our cat with a sensitive stomach,5
NOT AS GOOD AS OTHERS,3
"Good flavor, but tooooo sweet",2
Extra Virgin Coconut Pil,5
"Not my ""cup of tea"" :)",2
causes cancer,1
Royal Canin kitten food,5
Pretty tasty!,4
Dogs love it!,5
K cups,3
Sulfite-free makes a huge difference,4
Crunchy freshness,5
Price is too high,1
good cereal but complaint about subscribe and save.  so 1 star for bad service.,1
DISGUSTING!,1
Got the job done,2
Yuck!,1
"Good coffee, but seriously over-priced",4
Value coffee,3
Long term low carbers will love it.,5
baby likes it,5
Poor quality control,2
Where are the almonds?,2
25% chance of rancid chips - No Thanks,1
Yuck!,1
Smooth & Creamy,5
Yuck!,2
Chocolate Blended Ice Coffee,4
"Should be called ""Peanut bar with Almonds and Other Nuts""",3
Too expensive,2
Protein. Good. Taste. Bad,2
pretty good,4
These are being taken off the market,1
Too weak,2
now i know whats wrong with my dog,1
Second the good idea,2
Not very tasty,2
Suprised,2
Don't waste your money.,1
Locorice is hidden ingredient in Stash Teas,1
"Interesting, but what's the practical use?",3
Ahmad Evening Tea,2
"Not strong enough of  a Tea flavor, mostly smells good",3
"Good texture, flat flavor",3
great tea bad Mate,2
Fine if you've never had their full size Homestyle Popcorn,2
Very unhappy with order,1
Trigger is not sensitive.  Waste of money,1
LATE EXPIRATION,2
Delicious and Organic,5
odd flavor,2
dissapointed,2
love this butter,5
"Weak, as usual for this brand",2
Un-BLU-Evable,5
Good coffee at a good price,4
Pretty good,4
Grows on you,4
Only recommend for hardcore health enthusiasts,2
Good k-cup,5
"This was huge, full of chemicals and I sent it bacl",1
Dried out,2
Major Dents in Cans,2
Extremely salty,1
aerogarden,5
Nevermore,1
Not worth the money,1
More like Kool-Aid than tea,3
Burns Sensitive Skin,1
Rather have a beer!,4
$45 for two - rid off big time,1
"Cats love, I only like...",3
"Average, nothing outstanding",3
Fairly strange taste,2
Best tasting gag gift ever!!!!,5
Harsh,2
Vastly prefer Xyloburst brand,2
Love it!!!,5
The BAKED version of these chips is misleading and non-tasty,1
Just basic,3
Good Decision!,5
"Not the best, but okay",2
I do not feed my dogs soy,2
"ok, but not for everything.......",3
Great for kitty who throws up a lot,4
Bitter and Horrible,1
Does not satisfy,2
doesn't work for all cats,3
Lipton to Go - Tropical Mango & Pineapple in a Bottle or load it up in a CamelBak®,4
What an hot offer,5
Very strong,3
Better than the other substitutes!,3
Can't decide if they're better than nothing.,2
Give them a try!,4
Did I get ripped off?,2
Two out of Three ain't bad... kind of.,2
"Healthy plants, timely delivery",4
my 10 cat review.....,4
Really bad tea,1
My favorite coconut water in a great container!,5
Hardly tolerable,2
"kinda dry, but dog doesn't seem to mind",4
the best SOMETIMES,2
Pretty good,4
Dogswell Happy Hips Chicken and Banana,4
Vet asked if my dog had been chewing rocks!,1
Too sweet not spicy!,2
PURE HEAVEN!,5
Vomit in a can,1
Weirdest thing ever,2
Hard to find,4
Yuck - has no pumpkin and taste like a spice pie,1
not much flavor,2
I'm so grateful for having been born after sugar free chocolate had been created/,4
"""Simple ingredients, simply delicious, simply good.""",5
Do not buy! Disgusting!!!,1
Old product?,2
"It's alright, but not worth the $10",1
My dog hated it,1
tasteless...,2
Didnt Work,2
Nicely presented but skimpy on the food,3
"Pretty good, not great",3
Amazing,5
Fast - spicy - good,4
cats were not too fond of this food,3
Disappointed,2
"Maruchan Yakisoba, Teriyaki Beef Flavor, 4-Ounce Microwavable Containers (Pack of 8)",1
not my taste,1
OH OH not good!  BAD RATING!!!,1
Does not taste like pumpkin spice!,1
will not re-order,2
Yuck!,1
Xylitol,5
Too small,3
Worst K Cup yet,1
Simply Outstanding!,5
Cheap....,3
One word: yummy,4
So-so,2
vanilla lover,4
pretty gross,1
Coconut flour,3
tasty and great price,4
SHOCKED!,2
Amazing,5
Nice Cocoa Sandwich Cookie,4
"If you like to make Moroccan food, this is an essential item",4
Needs some effort,4
Disappointed with Amazon's policy,4
Country Harvest popcorn packets,5
A little too sweet  but still fun to drink,3
definately entertaining!,4
Too big and too soft,2
Too Strong for Our Taste,3
Not the original,1
failed to pop,1
Picky terrier,2
Relive Your Worm-eating Childhood!,1
Can't taste the taurine,4
Good product but NOT VEGETARIAN.,3
Piece of Crap & Dangerous!!,1
Great flavor,5
LifeSource Bits,4
Too soft,2
Wellness by Diamond Pets RECALLED,3
"Ugly, tasty snack",4
Pricing fluxations?,3
Dry & bland,1
my picky 4 yr old will eat this,5
"Almond and Apricot? No, almond and coconut.",2
Not somthing I would crave,3
Taste is ok but texture is yucky,2
Rotten fruit arrived two weeks after placing order.,1
"Tastes great, no sodium benzoate, just perks me up",5
A Big Disappointment!,1
:) Cool plant!,4
So-so,3
Quality has gone downhill,1
Awesome......!!My daughter loves it!,5
Packaged goods--not so good.,3
Not as good as I'd hoped.,2
"Great xBold Coffee, Horrible Price",4
Disappointed,3
ok product,3
*****EXCELLENT*****,5
Happy Hips - made in China,1
Should just be called Chili Chips,2
Three Keurigs/Three Years,2
One of the first things in my suitcase!,5
Yuck!,2
"Whose idea were these?  Nice in theory, but...",2
What a let down...,1
Lovely coffee Manufacturing defect causes grounds to pour,2
"Good coffee, but not what I was hoping for",4
A little disappointed,3
It was alright,3
tea,3
watch your prices!,1
Cream of Tartar at a bargain price,5
do NOT buy this! NEVER NEVER NEVER,1
"Diarrhea-ville, Population You.",1
Starbucks is better but not by much.,3
NOT SO GOOD,2
Most Excellent organic real fruit snack for all ages. My 9 yr old calls this his banana sauce. Also makes great baby food.,5
Beware!  May differ significantly from photo.,1
quite yummy,4
Pretty good flavor,4
Once is enough.,3
Only the best,5
Black Silk K Cups,4
1 for the price of three,1
"nice and strong, but too much carbon",1
Not for health nuts...,5
Keeps me regular but that's about it,3
Cookies,4
Once a great product,1
Treats were stale,2
So-So,3
bitter burned beans,1
"flowed beautifully, but tasted awful",2
No acid and no sacrifice to taste,4
Cancer Alert,1
Not bad if you need a low-acid coffee,4
Shipping via NetGrocers is an issue,3
Nasty Smell,2
"it works, but taste is blah",4
K-cups,5
Grove Square Hot Coco K-Cups,4
Disappointed It Was Healthy Request,3
Sriracha Sauce,3
Best pepper!,4
it's OK,3
Good toy,4
Yummy Chicken,5
It is better than I expected,4
chewy,2
Who Knew? Pumpkin Shortage!!?,3
Very Good Thai Yellow Curry!!!,4
Very Sorry,1
I never thought i'd have to say no to more fruit and veggies!,5
LOVE THE POPCHIPS!,5
extremely crude,1
Where are the blueberries?,2
ok,3
Some of their favorite treats,5
Korean Bulgogi Sauce,5
Larabar Jocolat Bar,2
From someone who took it for months and stopped,2
mild but weak,3
Not Quite Bold Enough,3
Too sweet,1
okay,3
I like,5
excellent,4
"Weak, boring coffee",1
It's okay,4
My puppy LOVES this food!!,5
"A fairly ""meh"" generic cola.",2
Pricey,3
The cats' dessert,5
"My 18 month old liked it, my 3 year old did not.",3
Quite Inferior ---,2
Not very good,2
My picky eaters love it!,5
Just not a good cookie,2
got exactly what i saw,4
I don't really like Chips Ahoy,3
"Beans great, dented cans not.",3
Okay for a toy,1
Not worth it,1
Jet Fuel k-cups,5
GREAT ORGANIC Honey flavor Hard candy. Great candy for eating or use as organic soothing throat drops. Not for small children.,4
Oily dilemma...,3
Larger than I though,4
I won't purchase again.,2
"Tasty but TINY, and wish they'd lose the agave!",3
3 out of 4 Paws,4
Different Poduct Than What's in the Store.,3
Best litter for odor issues!!,5
Best foreign coffee,5
not as good as Slim Fast High Protien,2
"Good product, BPA fears no longer an issue",4
Love Baja Bob's!,5
Numi Green Rooibos,5
"Healthy Snack, Great for On The Go!",4
Good product and value,4
"""New and improved"" - NOT!",1
Chai-YI-YI...!,2
Not Greasy,4
Good quality seeds,3
"item says ""Lucy's Chocoalte Chip""",1
"Useful especially if you have a small kitchen, one safety concern though",3
Falls short of a dark chocolate experience.,2
Chef Michael's,3
Excellent and Different!!,5
Very good wild game treat,4
Disgustingly Salty,1
like it...dont love it,4
Vanilla Stevia,5
x stick,4
Great Dog Food!!,5
SO GOOD,5
Ah...Graham Crackers,3
The good and the bad,3
Excellent Product.,4
Great dog food at a great price,4
Strong flavor bad digestive effects,2
THIS STUFF REALLY WORKS!,5
Easy & Quick,4
"Great to have around for the kids, guests and winter!",4
"Good concept, brittle plastic",2
Cheaper at Fred Meyer!,4
"Smells like feet, tastes like heaven",5
"Good texture, ok value, taste not strong enough",3
Disgusting!,1
For that coffee shop Chai taste...,4
Cooked fast and tasted good,4
So disappointed that this didn't work for my kitties,2
"My kids say ""Thumb's Up"" . . .",4
Average,3
Tastes Great,4
Great 'stachios,5
Love,4
Expected more,3
Good price for the quantity :),5
The ONLY flavor of THIS I will buy! No gluten or fillers!!,2
Bring back Cytomax Classic!!!,2
Great food storage item,4
"SWEET RETREAT NATURALS ROASTED ALMONDS WITH MILK CHOCOLATE, APPLE",4
as advertised..,5
"Good, but not great",2
Extremely Spicy (Hot),3
Buyer beware!,2
Great Aroma; Mild Taste,2
I wonder what others were talking about?,1
"Great crunch, not too sweet or ""stick-like""",5
Taste is OK - artificial tasting,2
"Great Price, Authentic Taste",5
Super sparkly sparkling water.,4
Check the expiration date!!!,3
Not as advertised,3
I love this cookies but upset on shipping,4
Not too bad,3
Very Tasty - BUT BEWARE,2
Didn't help me sleep,2
Hesitated because it was Grade B,3
Love it!,5
Good dog toy,4
Wrong Product,3
gluten free pasta,4
Starbucks lost a loyal customer,1
Strong Kick Takes Away From Natural Taste of Cashews,4
Dark Cherry Juice Soda,3
Unbelievably delicious freeze dried apples,5
"Gross by-products, sugar, and food colorings--but my dog likes it",2
Pleasantly Surprised...,4
MY FEELINGS ARE MIXED ON THIS ONE!,2
nature's logic,5
DEADLY!!!!!,1
disappointing,3
10 Minute Prep?,3
"Too sweet, too weak",2
My cat loves it.... I hate it,2
BIG DISAPPOINTMENT,1
Excellent Popcorn!,2
Content,3
"Sodium Benzoate as a preservative in Pet Calm is a ""no-no"" and should be eliminated to reduce cancer risk to pets as in humans.",2
Good coffee for the price and convience.,3
Nope,1
Poor copy,1
Good Food but Cans --> All Deeply Dented,3
dogs dont like them,2
Not a Gluten Free Product,1
Excellent!,5
Not really a fan,3
Comparing waffles,3
PORK RINDS,5
Yummy!,5
Served its purpose,5
A perfect gift,4
good coffee,4
Chaiwala,1
kettle chips,4
Fairly Good,3
"Not the Worst, But....",2
The best oats EVER!,5
Quick Delivery,3
My cat loves this product!,3
very goot jet fuel,4
What a treat for a celiac!,3
5-Hour Energy Berry is good to give you some zip!,4
Great packaging,5
Original? Not a chance,1
Five stars and an Eight paw Salute,5
Sensitive eaters beware,3
Not the best snack bar,2
Good Ahi tuna jerky,5
Just the right flavors without being too hot.,5
What happend to Hot Fries?,2
Sweet Potato PopChips are Sweeeeet!,5
Wheat Grass A No Show,1
ok for chewers,3
Froot Loops + Funeral Home,2
Super Good!!,5
Made in China! My dog got very sick...,1
not for me!,2
It's alright,3
The old girl is happy,5
Sweet and hot,4
love it!,5
"Plastic jar makes me nervous, quart glassjar substitute breaks",4
Cheap! Cheap! Cheap!,1
XBold,4
**********  READ THIS FIRST PLEASE ************,2
Excellent,5
Cloves Overpowering,3
Lots of Ginger,5
DO THE MATH: $5.70 each!!! Can YOU afford this?,1
Dogs love 'em (at least mine did),4
tastes like plastic,1
Hansen's natural -- concentrate from. China?,1
"Good quality, good price",4
Needed to tweak recipe to taste good,3
Pretty Good!,3
not enough,2
Best seasoning,5
Roulette's rock!,5
"Great idea, such a pain to open and close",2
Extend Crisps White Cheddar,2
Wish I could give 0 stars.,1
LOVE THIS COMPANY,5
Not a big fan of these,2
Good for the price,4
Refreshing and very citrusy,4
Not so yummy,2
comparable to Skippy,3
Crackers were stale,2
"disappointing, to put it mildly",1
Cats loved it!,5
Great Popcorn,4
It's OK,3
Absolutely Vile,1
Buyer Beware,1
pictures,1
great taste,5
they are good and natural,4
Decent flavor for a quick fix,3
Not a patch on the sojos grain free add meat!,2
"A ""must have"" on the spice rack",5
Awesome when on SALE,4
Senseo Kona Blend Coffee Pods,3
"Solid, Strong Green Tea",4
"As good as the movie, maybe better",5
Stale,1
Best X-Bold,5
Eh...,2
Twinings Lady Grey Decaf,5
Three spoiled cases--Oct 2012 exp,1
If you can't go to Cincy,5
Awesome appetizer!,5
great tea...horrible customer service,5
"Picture not correct, there are no green ones in the package I received",3
Love the sauce hate the cost,2
Yuck-a-moldy,1
Cats love it...,5
la creme coffe,5
It's OK,3
Good Noodles,5
not the same,2
Excellent for the right dogs and play areas,4
Not Quite Feeling the Love,3
Beware - not the item shown,2
good for busy days,4
Blah bread that sticks to the pan,1
did not work well in my hamilton beach pod machine,1
"Chicken Soup for the Cat Lover's Soul Dry Cat Food for Senior Cat, Chicken",5
Yuk,1
Are you kidding?,2
"Strong ""ashy"" taste, needs babysitting",2
Mushy peaches!!,2
Nutritious but...,3
Good Tea,4
Best Chai Ever!,5
middle range European coffee,4
"A *true* protein bar, does NOT contain hydrogenated oils!",4
wrong,2
Redbull?,3
Deters cat from overeating,4
"CRITIQUE, pre Purchase",4
Delicious and healthy treat!,4
Nice flavor,4
Nasty,2
inedible,2
Home made sausages,4
"Wow... Like I was a kid, until I got addicted",5
Good but not great,3
Newman's Own Organics Premium Pet Food,5
Nothing Special,2
Assorted wrapped rods,3
PAST EXPIRATION DATE!,1
great price,5
didn't grow,1
No way older dogs can even bite these,1
My Dog Loves This Food,3
Scabie Cure?,4
Taste good - but not as good at Weight Watchers Brand,2
"Yes, less acid",4
good kringle but excessive shipping cost,3
Good - Cracker Jacks with a drizzle of chocolate,4
"too sweet, not smooth",2
Kicking horse coffe,5
Smaller bad than I thought,4
I just saw 'Sugar' listed as one of the ingredients,2
My order is complete now,3
too much black pepper for my taste,3
My dogs love this stuff,5
Great if you like feeling funny,2
Great Steak Seasoning!,5
A very good middle-of-the-road blend for those who just want a plain old cup of coffee...,4
Cereal box collectables!!!!,3
Oh Snap!,5
beautiful smell but tasted like perfumed soap,1
Great for egg allergy people!,5
Why do you have MSG?,1
Bland,3
CAN BUY AT WALMART FOR FAR LESS!,1
"Well Packaged, but....",3
Disappointing,2
very disappointed,1
Not quite what we thought it would be,2
Really?,3
different from regular mudslide K cups,2
"Tasty, questionable texture, chocolate was melted",3
just a standard ice tea mix,3
It's good junk food.  They also smell like potatoes.,4
These are terrible!,2
"Very good flavor, but slow to mix",5
Disappointed,2
Sumatra sucks,2
Least favorite of the new Taco Bell Sauces,2
Surprised,1
What Happened to the Flavor?,3
NOT WHAT I THOUGHT,1
Not bad!,4
Good Product,4
SNAP....These Cookies Really HAVE Ginger In Them!,3
Did not specify veggie caps,3
Green Glucoasamine Product To Support Dog's Joints,3
Another Successful Transaction,5
Nothing bold about this flavor,2
"This is not my idea of ""happiness""",1
Bait n Switch???,3
Cans instead of jars as advertised.,2
Makes a splendid risotto,5
Way too much Vinegar for me,2
MMMMMMM,5
Has mostly cleared up our vomiting problem,4
Itty Bitty Dog Treats,5
"Fun, but way too pricey for the size!",3
was looking for guacamole doritos,3
Kashi Crunch,5
I really wanted to like them,2
Not for us,2
Instant coffee,1
better than chips,4
Lovely!,5
NASTY!!,2
My dog developed stones while on this diet,2
Amazing Stuff!,5
It's not Bigelow,4
"rum flavored balls, sans marzipan flavor",1
3- Out of 5,3
"For me, too bitter, prefer richer tasting blend",2
Great but expensive,4
not too flavorful,2
Hard to Not Get Too Much On,2
this is SO BAD for dogs!,1
"Too sweet, almond extract flavor too strong",2
Five strikes against these treats,2
Use fast,2
After taste,2
Recycled Tires,1
A very good finishing salt,5
Mmmm,4
don't buy if....,1
Not the type grandma made,2
Disappointing,1
It's Decent...,3
Many Melted Mountains,2
Tastes nasty,1
Farmer's Market is clearly packing dented cans and marketing them through Amazon.com,1
Best since Coco's,5
"The sauce is great, but the Juicer and process less so ....",1
Lesson Learned,3
Good Concept,3
Endorsed by coffee snob,4
My baby liked it,4
Grreat food for your cats and kittens!,5
not perfect but better than the rest,4
Hit or miss...,4
Not Vegan at All!,1
Very minty,3
Only okay,3
deceptive description,1
Dog goes crazy for these,2
A great organic chocolate option - dark chocolate for people who don't like dark chocolate?,4
Wonderful additive for a healthier me,4
very good,4
Not Low in Sugar,3
Fake flavor,1
Tasted like the metal can,2
Expired coffee...do not buy!!!,1
PICTURES CAN BE DECEIVING,2
pretty good snack,4
"Not very sturdy, but....",3
Minute Ready to Serve Rice - great concept ...needs some work,2
Gumballs,1
these are mini candy bars.,2
LOVE LOVE LOVE!!!,5
Really Great Snack...Not sure what others are talking about???,5
"Good, Bolder Coffee",4
Good for the Price,4
Wolfgang Puck Dark Roast,3
Dissapointed can half juice half soft mushy chunks with little flavor.,2
Bold strong & smooth,5
Great Taste but bad texture,3
King Oscar packed in Poland,2
"Try at home, not at work",2
Great Treat,5
Bad gas and constipation,1
Not bad,4
"Great value, good product....",4
"Taste Great, but clumps",3
too much raspberry flavor,1
Chocolaty Goodness,4
"Tastes pretty good, watch the caffeine content!",4
Rich cocoa taste and satisfying...,5
OLD POPCORN,1
"VERY Crunchy but lacked the ""nutty"" flavor I was craving",3
"Great, tons of salt though.",4
Tasty but very salty!,2
GM Double Black Diamond - Pretty good.,4
VERY DISAPPOINTED,2
No Flavor,1
these are DELICIOUS!!! get some!,5
Savings = How much?,3
jerky average,3
needs a stronger srew cap,3
Delicious,5
Bad batch? Disappointed,1
Good breakfast,4
Very good coconut oil,4
product makes good cola drinks,4
flavor,2
ZICO WATER IS GOOD BUT NOT IN A PLASTIC CONTAINER!,2
yuck!,1
Too Sweet - doesnt compare to the Huy Fong,2
Delicious & immune boosting!,5
Does the job but not a favorite,3
Good,3
Someone is crazy,1
Great for Green Tea Lattes,5
Best veg jerky,5
"""You can put lipstick on a pig....""",2
leaking of international hzelnut delight,2
Suspicious taste,1
"Not truly an ""alfredo"", but not without merit",3
Parker House Rolls Shaped Like a Bagel,1
I anxiously awaited it..and then it was just not quite 'it'..,3
"Some great flavors, some...not so great.",4
not your typical candy,4
Dog Snacks,4
Not a Bad Cup of Coffee,4
labeled and shipped.,1
My Yorkie Loves This Stuff,5
Not worth the cavity!!,1
SKIP THIS ONE FOR OTHER SPROUT CHOICES,1
great!,5
Tastes like cement with almonds,2
Great Flavor!,5
Needs improvement,1
Good deal on a great item!,5
Good stuff but the regular white stuff is better,4
Yuck,2
"Great Granola, Not fresh from Amazon",3
Best snack item for my dog.,4
No Surprises,4
"Bitter Brew, and that's good",4
The Family Fave,5
It's soap. Not particularly special soap.,3
Dogs don't like it,2
Tully decaffinated k cup coffee,2
Great Product,5
Great Product,4
Loss of good will,1
Very good but the original flavor is much better.,4
Don't waste your money on this one...,2
Great Mix!,4
Thank you Kinnikinnick!!!!!!!!!!!!!,5
It's not the greatest,2
Doesn't spread and DOES need stirring!,2
Once was enough for me!,2
OK,3
"Love the crackers, but they don't ship well",3
Starting the day with decaf,4
MTR Ready to Eat Pongal,5
Excellent,5
Quick Delivery,4
Blue Dog Biscuits,5
Yummy Sugary Fiber,4
good except doesn't fit well in my Senseo pod brewer,3
HELP!. Be careful with this product,2
Less than 12!,3
good stuff,5
Pepper Plant Sauce,5
Almost great but a little too sweet and a little too much vanilla,3
Irresponsible Seller,1
Made in China,3
smaller in size but price the same,3
where's the cherry?,1
Dangerous!!!,2
Should be labled medium size dogs,3
Great price but not great tasting,2
Cheaper if you buy them individually...,1
Chocolate Gone Bad,1
Smokehouse pig ears with no smoke...,2
"Nice antler, my dogs aren't interested",3
Oh it was AWFUL!,1
My cat hates it..,1
"Timothy's World Coffee, Extra Bold Rainforest Espresso",3
Terrible,1
Amazing taste!,5
Flavored coffee,2
"Chicken and ""Broccoli"" Dinner",4
Good quality and price...,4
Love this tea,5
Unique treat for dogs,4
Twisty Rainbow,2
Happy Hips Dog Food,4
loved the aroma,5
So far so good,4
Not the best I've ever had.,3
good vanilla coffee,4
Disappointing unripe black truffles,1
There is another way.....,3
Fusion green and white tea.,5
Disgusting!,1
Tastes good but...,3
"They're not chocolate chip, but surprisingly tasty anyway.",4
NOT SO GOOD,2
great chips,4
The best popcorn I have ever had,5
It's Water...It Tastes Wet,4
W-E-A-K! NOT WORTH THE COST!!!!,1
"Rich dark flavor, highly addictive!",4
Doesn't taste like H&S Midsummer's Peach,2
Better than most,3
CET Chews,5
Chocolate Treat,5
Gave me my life back,5
Absolutely DISGUSTING! TOO SWEET!!,1
pretty bad tea,2
Unobjectionable mid-range blend,3
Excellent quality nourishment,4
"Paw Flapper Fun, But Too Easy",2
"Wow, is this stuff good",4
"GREAT cereal, but amazon is way too expensive...",5
Bigelow Englis Breakfast Tea,5
My son LOVES crunchies!,5
"Garden Time Organic Semolina Manicotti, 7.5-Ounce Units (Pack of 12)",2
Thinest stale turkey jerky.,2
Not a hit in our house,2
Not the best....,2
Nature Valley,4
Tastes like MOLD,1
Best Coffee,5
great popcorn  terrible price for shipping,2
Best liquid sugar on the market.,5
disappointment with way of packing,1
Much smaller than appear,3
"Tastes good, for 10 seconds",2
"Way less than advertised selection, even when counting decaf as a seperate flavor.",1
Sugar Bomb,2
to much money,2
so convenient!,5
YO USOULD OF SEEN THIS,1
Expected more,3
"Less fruit, more delicious cookie",4
"Not if you've had the regular version, otherwise okay",2
so yummy!,5
cheaper elsewhere,4
Not  Very Creamy or Chivey...,2
"the product HAS changed, not just the packaging",2
Not like a real chip,3
amazing,5
Not for Black Flies,3
Decent chip for GF folks,4
horrifying,1
Mediocre,3
wonderful!!,5
